Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR
191110,17:00,Parma,Roma,2,0,H,0,0,D,13,10,8,7,16,9,5,10,3,2,0
191110,19:45,Juventus,Milan,1,0,H,0,0,D,11,10,5,7,13,10,5,5,1,5,0
191123,14:00,Atalanta,Juventus,1,3,A,0,0,D,14,11,9,5,17,13,8,3,5,3,0
191123,17:00,Milan,Napoli,1,1,D,1,1,D,11,12,4,6,19,15,3,4,3,2,0
191123,19:45,Torino,Inter,0,3,A,0,2,A,5,6,2,5,10,18,12,4,2,3,0
191124,11:30,Bologna,Parma,2,2,D,1,1,D,11,11,7,7,18,18,15,2,1,3,0
191124,14:00,Roma,Brescia,3,0,H,0,0,D,14,5,6,2,17,10,17,6,1,1,0
191124,14:00,Sassuolo,Lazio,1,2,A,1,1,D,5,10,2,6,14,14,5,8,1,3,0
191124,14:00,Verona,Fiorentina,1,0,H,0,0,D,13,7,8,2,18,8,8,6,3,2,0
191124,17:00,Sampdoria,Udinese,2,1,H,1,1,D,19,5,13,2,8,22,8,2,2,3,0
191125,14:00,Lecce,Cagliari,2,2,D,0,1,A,17,6,8,2,13,19,11,2,2,2,1
191125,19:45,Spal,Genoa,1,1,D,0,0,D,13,13,7,6,12,13,5,4,2,1,0
191130,14:00,Brescia,Atalanta,0,3,A,0,1,A,9,19,5,12,15,15,2,11,1,3,0
191130,17:00,Genoa,Torino,0,1,A,0,0,D,5,10,3,3,15,18,6,4,2,3,0
191130,19:45,Fiorentina,Lecce,0,1,A,0,0,D,13,6,6,6,13,21,9,2,1,3,0
191201,11:30,Juventus,Sassuolo,2,2,D,1,1,D,17,8,9,4,11,13,9,2,1,5,0
191201,14:00,Inter,Spal,2,1,H,2,0,H,16,8,10,3,15,17,8,0,1,4,0
191201,14:00,Lazio,Udinese,3,0,H,3,0,H,15,4,6,0,9,12,2,2,0,1,0
191201,14:00,Parma,Milan,0,1,A,0,0,D,6,19,0,8,13,15,1,7,1,3,0
191201,17:00,Napoli,Bologna,1,2,A,1,0,H,20,9,5,6,12,10,7,0,1,5,0
191201,19:45,Verona,Roma,1,3,A,1,2,A,7,12,3,5,11,14,6,5,3,3,0
191202,19:45,Cagliari,Sampdoria,4,3,H,0,1,A,12,9,8,5,15,12,6,4,3,1,0
191206,19:45,Inter,Roma,0,0,D,0,0,D,9,6,2,2,12,11,8,3,3,1,0
191207,14:00,Atalanta,Verona,3,2,H,1,1,D,21,7,10,2,14,16,13,4,1,5,0
191207,17:00,Udinese,Napoli,1,1,D,1,0,H,5,12,1,3,20,15,3,10,3,4,0
191207,19:45,Lazio,Juventus,3,1,H,1,1,D,12,8,8,5,14,10,4,5,4,3,0
191208,11:30,Lecce,Genoa,2,2,D,0,2,A,22,14,5,4,17,18,11,3,5,6,0
191208,14:00,Sassuolo,Cagliari,2,2,D,2,0,H,9,4,3,3,10,19,8,4,3,4,0
191208,14:00,Spal,Brescia,0,1,A,0,0,D,18,12,4,7,17,18,3,1,3,3,0
191208,14:00,Torino,Fiorentina,2,1,H,1,0,H,10,15,5,5,19,17,3,9,4,3,0
191208,17:00,Sampdoria,Parma,0,1,A,0,1,A,18,10,6,2,15,12,3,2,3,2,0
191208,19:45,Bologna,Milan,2,3,A,1,2,A,11,11,4,7,17,19,5,1,4,2,0
191214,14:00,Brescia,Lecce,3,0,H,2,0,H,13,11,9,4,17,26,4,6,4,6,0
191214,17:00,Napoli,Parma,1,2,A,0,1,A,22,7,9,5,9,12,11,1,2,2,0
191214,19:45,Genoa,Sampdoria,0,1,A,0,0,D,5,2,1,1,16,26,4,2,5,3,0
191215,11:30,Verona,Torino,3,3,D,0,1,A,12,12,8,8,20,19,6,3,3,1,0
191215,14:00,Bologna,Atalanta,2,1,H,1,0,H,8,15,5,7,14,18,4,4,5,1,1
191215,14:00,Juventus,Udinese,3,1,H,3,0,H,14,9,12,7,10,4,9,8,2,1,0
191215,14:00,Milan,Sassuolo,0,0,D,0,0,D,17,10,12,6,14,16,8,3,5,4,0
191215,17:00,Roma,Spal,3,1,H,0,1,A,18,5,13,3,10,17,8,3,1,3,0
191215,19:45,Fiorentina,Inter,1,1,D,0,1,A,10,7,5,5,15,17,5,1,3,4,0
191216,19:45,Cagliari,Lazio,1,2,A,1,0,H,9,13,4,7,11,11,2,9,4,3,0
191218,17:55,Sampdoria,Juventus,1,2,A,1,2,A,13,10,4,4,7,17,5,5,5,2,1
